Month Year,Age,Sex,Homicide (Murder),Other Homicide,Attempted Murder,Conspiracy to Murder,Manslaughter (excl. by driving),Manslaughter Unlawful Striking Causing Death,Driving Causing Death,Assault,Grievous Assault,Serious Assault,Serious Assault (Other),Common Assault',Sexual Offences,Rape and Attempted Rape,Other Sexual Offences,Robbery,Armed Robbery,Unarmed Robbery,Other Offences Against the Person,Kidnapping & Abduction etc.,Extortion,Stalking,Life Endangering Acts,Offences Against the Person,
01-Jan,Adult,Female,2,2,2,0,0,0,0,520,15,278,17,210,113,57,56,28,12,16,154,22,1,52,79,819,1
01-Jan,Adult,Male,5,15,12,0,1,0,2,797,34,355,94,314,17,4,13,42,22,20,114,8,4,12,90,990,2
01-Jan,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
01-Jan,Juvenile,Female,1,0,0,0,0,0,0,98,2,47,0,49,185,38,147,4,1,3,36,7,0,7,22,324,4
01-Jan,Juvenile,Male,0,2,2,0,0,0,0,146,1,91,3,51,23,5,18,24,7,17,22,4,0,0,18,217,5
01-Jan,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
01-Feb,Adult,Female,1,4,4,0,0,0,0,469,11,248,30,180,107,37,70,30,7,23,131,6,1,47,77,742,7
01-Feb,Adult,Male,1,5,4,0,0,0,1,771,50,339,89,293,21,4,17,54,23,31,132,10,4,21,97,984,8
01-Feb,Adult,Not Stated,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
01-Feb,Juvenile,Female,0,2,2,0,0,0,0,120,3,62,3,52,181,25,156,7,3,4,43,7,0,6,30,353,10
01-Feb,Juvenile,Male,2,3,3,0,0,0,0,179,7,97,2,73,30,4,26,37,14,23,33,4,0,3,26,284,11
01-Feb,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
01-Mar,Adult,Female,0,5,4,0,0,0,1,493,16,243,34,200,119,40,79,65,16,49,146,14,1,51,80,828,13
01-Mar,Adult,Male,4,9,7,0,0,0,2,907,60,384,86,377,20,0,20,84,32,52,113,7,4,19,83,1137,14
01-Mar,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
01-Mar,Juvenile,Female,0,0,0,0,0,0,0,154,1,68,3,82,189,22,167,5,1,4,36,12,0,6,18,384,16
01-Mar,Juvenile,Male,1,0,0,0,0,0,0,222,8,121,5,88,58,7,51,12,3,9,23,5,1,1,16,316,17
01-Mar,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
01-Apr,Adult,Female,2,7,5,0,2,0,0,516,12,260,27,217,130,49,81,57,13,44,120,20,3,50,47,832,19
01-Apr,Adult,Male,3,4,3,0,0,0,1,769,38,328,87,316,21,1,20,78,33,45,82,8,4,10,60,957,20
01-Apr,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
01-Apr,Juvenile,Female,0,1,1,0,0,0,0,104,0,55,6,43,117,23,94,7,2,5,34,5,0,12,17,263,22
